Country,Territory,Unit,Precipitationdaily,Date
AUS,Australia,mm/h,0.09388884156942368,01-01-00
AUS,Australia,mm/h,0.034651730209589005,01-01-01
AUS,Australia,mm/h,0.096181221306324,01-01-02
AUS,Australia,mm/h,0.0927189514040947,01-01-03
AUS,Australia,mm/h,0.12322165817022324,01-01-04
AUS,Australia,mm/h,0.13301660120487213,01-01-05
AUS,Australia,mm/h,0.22079896926879883,01-01-06
AUS,Australia,mm/h,0.06274855136871338,01-01-07
AUS,Australia,mm/h,0.09903215616941452,01-01-08
AUS,Australia,mm/h,0.2456507682800293,01-01-09
AUS,Australia,mm/h,0.1727599799633026,01-01-10
AUS,Australia,mm/h,0.14797139167785645,01-01-11
AUS,Australia,mm/h,0.027179667726159096,01-01-12
AUS,Australia,mm/h,0.01874779909849167,01-01-13
AUS,Australia,mm/h,0.061887677758932114,01-01-14
AUS,Australia,mm/h,0.12707988917827606,01-01-15
AUS,Australia,mm/h,0.11166197061538696,01-01-16
AUS,Australia,mm/h,0.15329141914844513,01-01-17
AUS,Australia,mm/h,0.06909322738647461,01-01-18
AUS,Australia,mm/h,0.05770845338702202,01-01-19
AUS,Australia,mm/h,0.023290131241083145,01-01-20
AUS,Australia,mm/h,0.13140679895877838,01-01-21
AUS,Australia,mm/h,0.03056652843952179,01-02-00
AUS,Australia,mm/h,0.18977324664592743,01-02-01
AUS,Australia,mm/h,0.09737669676542282,01-02-02
AUS,Australia,mm/h,0.047114577144384384,01-02-03
AUS,Australia,mm/h,0.28226444125175476,01-02-04
AUS,Australia,mm/h,0.11197472363710403,01-02-05
AUS,Australia,mm/h,0.11857444792985916,01-02-06
AUS,Australia,mm/h,0.19899043440818787,01-02-07
AUS,Australia,mm/h,0.06604698300361633,01-02-08
AUS,Australia,mm/h,0.16638410091400146,01-02-09
AUS,Australia,mm/h,0.1273067593574524,01-02-10
AUS,Australia,mm/h,0.10344216972589493,01-02-11
AUS,Australia,mm/h,0.1613859087228775,01-02-12
AUS,Australia,mm/h,0.043016672134399414,01-02-13
AUS,Australia,mm/h,0.13647107779979706,01-02-14
AUS,Australia,mm/h,0.04637359082698822,01-02-15
AUS,Australia,mm/h,0.17959845066070557,01-02-16
AUS,Australia,mm/h,0.09787743538618088,01-02-17
AUS,Australia,mm/h,0.12815260887145996,01-02-18
AUS,Australia,mm/h,0.2273784726858139,01-02-19
AUS,Australia,mm/h,0.2384386956691742,01-02-20
AUS,Australia,mm/h,0.20432230830192566,01-02-21
AUS,Australia,mm/h,0.22584325075149536,01-03-00
AUS,Australia,mm/h,0.18100957572460175,01-03-01
AUS,Australia,mm/h,0.10692554712295532,01-03-02
AUS,Australia,mm/h,0.2650938034057617,01-03-03
AUS,Australia,mm/h,0.14694300293922424,01-03-04
AUS,Australia,mm/h,0.03074452094733715,01-03-05
AUS,Australia,mm/h,0.11424408107995987,01-03-06
AUS,Australia,mm/h,0.11869198083877563,01-03-07
AUS,Australia,mm/h,0.07775009423494339,01-03-08
AUS,Australia,mm/h,0.14569738507270813,01-03-09
AUS,Australia,mm/h,0.3137611150741577,01-03-10
AUS,Australia,mm/h,0.3024549186229706,01-03-11
AUS,Australia,mm/h,0.3086061179637909,01-03-12
AUS,Australia,mm/h,0.28586527705192566,01-03-13
AUS,Australia,mm/h,0.10355205088853836,01-03-14
AUS,Australia,mm/h,0.19365574419498444,01-03-15
AUS,Australia,mm/h,0.02838202752172947,01-03-16
AUS,Australia,mm/h,0.024176478385925293,01-03-17
AUS,Australia,mm/h,0.08725254982709885,01-03-18
AUS,Australia,mm/h,0.01549762673676014,01-03-19
AUS,Australia,mm/h,0.2110077440738678,01-03-20
AUS,Australia,mm/h,0.07760728895664215,01-03-21
AUS,Australia,mm/h,0.039281245321035385,01-04-00
AUS,Australia,mm/h,0.06697937101125717,01-04-01
AUS,Australia,mm/h,0.0063329837284982204,01-04-02
AUS,Australia,mm/h,0.0138462595641613,01-04-03
AUS,Australia,mm/h,0.06442296504974365,01-04-04
AUS,Australia,mm/h,0.03163715824484825,01-04-05
AUS,Australia,mm/h,0.09967784583568573,01-04-06
AUS,Australia,mm/h,0.025491638109087944,01-04-07
AUS,Australia,mm/h,0.043172191828489304,01-04-08
AUS,Australia,mm/h,0.019331181421875954,01-04-09
AUS,Australia,mm/h,0.13444669544696808,01-04-10
AUS,Australia,mm/h,0.1966780126094818,01-04-11
AUS,Australia,mm/h,0.009070687927305698,01-04-12
AUS,Australia,mm/h,0.04494966194033623,01-04-13
AUS,Australia,mm/h,0.01692996732890606,01-04-14
AUS,Australia,mm/h,0.044465046375989914,01-04-15
AUS,Australia,mm/h,0.010857530869543552,01-04-16
AUS,Australia,mm/h,0.015513709746301174,01-04-17
AUS,Australia,mm/h,0.02803109399974346,01-04-18
AUS,Australia,mm/h,0.039084672927856445,01-04-19
AUS,Australia,mm/h,0.09399617463350296,01-04-20
AUS,Australia,mm/h,0.026534849777817726,01-04-21
AUS,Australia,mm/h,0.05854233354330063,01-05-00
AUS,Australia,mm/h,0.08562631905078888,01-05-01
AUS,Australia,mm/h,0.004495850298553705,01-05-02
AUS,Australia,mm/h,0.01630137674510479,01-05-03
AUS,Australia,mm/h,0.017310690134763718,01-05-04
AUS,Australia,mm/h,0.061503857374191284,01-05-05
AUS,Australia,mm/h,0.030533159151673317,01-05-06
AUS,Australia,mm/h,0.016146568581461906,01-05-07
AUS,Australia,mm/h,0.009509837254881859,01-05-08
AUS,Australia,mm/h,0.02068902738392353,01-05-09
AUS,Australia,mm/h,0.006655588746070862,01-05-10
AUS,Australia,mm/h,0.031060239300131798,01-05-11
AUS,Australia,mm/h,0.03871199116110802,01-05-12
AUS,Australia,mm/h,0.02160094492137432,01-05-13
AUS,Australia,mm/h,0.02088744193315506,01-05-14
AUS,Australia,mm/h,0.10556868463754654,01-05-15
AUS,Australia,mm/h,0.02928462252020836,01-05-16
AUS,Australia,mm/h,0.01730685867369175,01-05-17
AUS,Australia,mm/h,0.00365469534881413,01-05-18
AUS,Australia,mm/h,0.06696277856826782,01-05-19
AUS,Australia,mm/h,0.030583828687667847,01-05-20
AUS,Australia,mm/h,0.008389863185584545,01-05-21
AUS,Australia,mm/h,0.006241937633603811,01-06-00
AUS,Australia,mm/h,0.0054567004553973675,01-06-01
AUS,Australia,mm/h,0.009316225536167622,01-06-02
AUS,Australia,mm/h,0.025565335527062416,01-06-03
AUS,Australia,mm/h,0.19225451350212097,01-06-04
AUS,Australia,mm/h,0.002273690653964877,01-06-05
AUS,Australia,mm/h,0.023508915677666664,01-06-06
AUS,Australia,mm/h,0.017274104058742523,01-06-07
AUS,Australia,mm/h,0.06451758742332458,01-06-08
AUS,Australia,mm/h,0.06477927416563034,01-06-09
AUS,Australia,mm/h,0.008795542642474174,01-06-10
AUS,Australia,mm/h,0.012942352332174778,01-06-11
AUS,Australia,mm/h,0.09597624093294144,01-06-12
AUS,Australia,mm/h,0.10601390898227692,01-06-13
AUS,Australia,mm/h,0.028976188972592354,01-06-14
AUS,Australia,mm/h,0.010729956440627575,01-06-15
AUS,Australia,mm/h,0.04687207192182541,01-06-16
AUS,Australia,mm/h,0.006482654716819525,01-06-17
