Country,Territory,Unit,Temperaturedaily,Date
AUS,Australia,C,24.54119873046875,01-01-00
AUS,Australia,C,28.563526153564453,01-01-01
AUS,Australia,C,26.533485412597656,01-01-02
AUS,Australia,C,24.64073944091797,01-01-03
AUS,Australia,C,30.01348114013672,01-01-04
AUS,Australia,C,28.193103790283203,01-01-05
AUS,Australia,C,26.567462921142578,01-01-06
AUS,Australia,C,28.667375564575195,01-01-07
AUS,Australia,C,29.135456085205078,01-01-08
AUS,Australia,C,26.630701065063477,01-01-09
AUS,Australia,C,28.014846801757812,01-01-10
AUS,Australia,C,28.751449584960938,01-01-11
AUS,Australia,C,28.8454647064209,01-01-12
AUS,Australia,C,30.02716636657715,01-01-13
AUS,Australia,C,29.80954360961914,01-01-14
AUS,Australia,C,29.541343688964844,01-01-15
AUS,Australia,C,27.271316528320312,01-01-16
AUS,Australia,C,26.781522750854492,01-01-17
AUS,Australia,C,28.194671630859375,01-01-18
AUS,Australia,C,30.980484008789062,01-01-19
AUS,Australia,C,30.429752349853516,01-01-20
AUS,Australia,C,28.23797607421875,01-01-21
AUS,Australia,C,29.005983352661133,01-02-00
AUS,Australia,C,26.681842803955078,01-02-01
AUS,Australia,C,28.177291870117188,01-02-02
AUS,Australia,C,26.967235565185547,01-02-03
AUS,Australia,C,25.09111213684082,01-02-04
AUS,Australia,C,27.409748077392578,01-02-05
AUS,Australia,C,26.183679580688477,01-02-06
AUS,Australia,C,29.192394256591797,01-02-07
AUS,Australia,C,27.688262939453125,01-02-08
AUS,Australia,C,29.496854782104492,01-02-09
AUS,Australia,C,27.63290786743164,01-02-10
AUS,Australia,C,28.91330337524414,01-02-11
AUS,Australia,C,25.758852005004883,01-02-12
AUS,Australia,C,25.563793182373047,01-02-13
AUS,Australia,C,29.362058639526367,01-02-14
AUS,Australia,C,26.43018913269043,01-02-15
AUS,Australia,C,26.422441482543945,01-02-16
AUS,Australia,C,27.92605209350586,01-02-17
AUS,Australia,C,24.3737735748291,01-02-18
AUS,Australia,C,28.608476638793945,01-02-19
AUS,Australia,C,27.69415855407715,01-02-20
AUS,Australia,C,26.30523681640625,01-02-21
AUS,Australia,C,27.127511978149414,01-03-00
AUS,Australia,C,26.758485794067383,01-03-01
AUS,Australia,C,22.82670783996582,01-03-02
AUS,Australia,C,21.961557388305664,01-03-03
AUS,Australia,C,26.507780075073242,01-03-04
AUS,Australia,C,28.79159164428711,01-03-05
AUS,Australia,C,26.758237838745117,01-03-06
AUS,Australia,C,28.633535385131836,01-03-07
AUS,Australia,C,25.311220169067383,01-03-08
AUS,Australia,C,26.840410232543945,01-03-09
AUS,Australia,C,24.22432518005371,01-03-10
AUS,Australia,C,24.448488235473633,01-03-11
AUS,Australia,C,22.826236724853516,01-03-12
AUS,Australia,C,24.394906997680664,01-03-13
AUS,Australia,C,25.700336456298828,01-03-14
AUS,Australia,C,26.582624435424805,01-03-15
AUS,Australia,C,29.78740692138672,01-03-16
AUS,Australia,C,28.870182037353516,01-03-17
AUS,Australia,C,27.261934280395508,01-03-18
AUS,Australia,C,29.212921142578125,01-03-19
AUS,Australia,C,27.155061721801758,01-03-20
AUS,Australia,C,27.053213119506836,01-03-21
AUS,Australia,C,23.94371795654297,01-04-00
AUS,Australia,C,23.32398223876953,01-04-01
AUS,Australia,C,24.605546951293945,01-04-02
AUS,Australia,C,25.302701950073242,01-04-03
AUS,Australia,C,23.052160263061523,01-04-04
AUS,Australia,C,26.12237548828125,01-04-05
AUS,Australia,C,22.157808303833008,01-04-06
AUS,Australia,C,22.469532012939453,01-04-07
AUS,Australia,C,23.653169631958008,01-04-08
AUS,Australia,C,25.964187622070312,01-04-09
AUS,Australia,C,24.61840057373047,01-04-10
AUS,Australia,C,22.42816162109375,01-04-11
AUS,Australia,C,25.052471160888672,01-04-12
AUS,Australia,C,23.122663497924805,01-04-13
AUS,Australia,C,26.68423080444336,01-04-14
AUS,Australia,C,25.410879135131836,01-04-15
AUS,Australia,C,25.672317504882812,01-04-16
AUS,Australia,C,22.312435150146484,01-04-17
AUS,Australia,C,26.80697250366211,01-04-18
AUS,Australia,C,23.1124210357666,01-04-19
AUS,Australia,C,25.0257511138916,01-04-20
AUS,Australia,C,25.068784713745117,01-04-21
AUS,Australia,C,18.169458389282227,01-05-00
AUS,Australia,C,20.823965072631836,01-05-01
AUS,Australia,C,22.97703742980957,01-05-02
AUS,Australia,C,20.75095558166504,01-05-03
AUS,Australia,C,17.80980682373047,01-05-04
AUS,Australia,C,22.081958770751953,01-05-05
AUS,Australia,C,18.142847061157227,01-05-06
AUS,Australia,C,21.446182250976562,01-05-07
AUS,Australia,C,20.122894287109375,01-05-08
AUS,Australia,C,19.429582595825195,01-05-09
AUS,Australia,C,21.475412368774414,01-05-10
AUS,Australia,C,19.358396530151367,01-05-11
AUS,Australia,C,21.06736183166504,01-05-12
AUS,Australia,C,23.01056480407715,01-05-13
AUS,Australia,C,19.76700782775879,01-05-14
AUS,Australia,C,19.23577308654785,01-05-15
AUS,Australia,C,21.964265823364258,01-05-16
AUS,Australia,C,19.8471622467041,01-05-17
AUS,Australia,C,21.70197105407715,01-05-18
AUS,Australia,C,20.53636932373047,01-05-19
AUS,Australia,C,16.685882568359375,01-05-20
AUS,Australia,C,21.378122329711914,01-05-21
AUS,Australia,C,12.210491180419922,01-06-00
AUS,Australia,C,16.68194007873535,01-06-01
AUS,Australia,C,14.6597261428833,01-06-02
AUS,Australia,C,18.454479217529297,01-06-03
AUS,Australia,C,17.03247833251953,01-06-04
AUS,Australia,C,15.868813514709473,01-06-05
AUS,Australia,C,14.788569450378418,01-06-06
AUS,Australia,C,16.502336502075195,01-06-07
AUS,Australia,C,17.514209747314453,01-06-08
AUS,Australia,C,16.959278106689453,01-06-09
AUS,Australia,C,16.123416900634766,01-06-10
AUS,Australia,C,15.778094291687012,01-06-11
AUS,Australia,C,16.515615463256836,01-06-12
AUS,Australia,C,17.474605560302734,01-06-13
AUS,Australia,C,17.24982261657715,01-06-14
AUS,Australia,C,16.35068702697754,01-06-15
AUS,Australia,C,18.223554611206055,01-06-16
AUS,Australia,C,15.297120094299316,01-06-17
AUS,Australia,C,15.39875316619873,01-06-18
AUS,Australia,C,14.681925773620605,01-06-19
AUS,Australia,C,16.458030700683594,01-06-20
AUS,Australia,C,17.935609817504883,01-06-21
AUS,Australia,C,13.108258247375488,01-07-00
